,RMSE,MAE,R²,NLL,Coverage 90%
GP-Linear,0.4770123657443377,0.3571458756335775,0.42577232430148704,0.8746023229997423,0.75
DNN,1.6973210673805834,1.4177685186376952,-6.270308649887522,1440449410147.6555,0.0
KAN,1.1139571010688585,0.9506999749381505,-2.13156750284406,620450214630.9434,0.0
