Scenario,Model,RMSE,MAE,R²,NLL,Coverage 90%
Forrester,GP-Linear,0.027833155470758347,0.009005844201468629,0.9999782403749656,-4.304393012648671,1.0
Forrester,DNN,0.7722357287136413,0.5449497699571241,0.983249556958314,1.5327629888238707,0.7142857142857143
Forrester,KAN,1.91931228295739,1.1024160299816035,0.8965292012736659,1.7387937121770598,0.9285714285714286
Forrester,Hybrid,0.8156595801815342,0.6223454475236524,0.981312792876065,3.7897419207128817,0.5
Real (clean),GP-Linear,0.5667285913476325,0.4561583562397108,0.1627314871195098,1.579108983283067,0.7142857142857143
Real (clean),DNN,0.6548260403591893,0.45087143351876385,-0.11780589514004758,2.7116714055145184,0.7142857142857143
Real (clean),KAN,0.7921694421286979,0.6179153911708285,-0.6358771398980216,1.4800173501111398,0.7142857142857143
Real (clean),Hybrid,0.6956161469202248,0.43261742548409593,-0.2614028892687421,1.4283349842683652,0.7142857142857143
